name,id,salary_from,salary_to,experience,requirement,url
Backend разработчик (senior) Python,84079746,0,550000,От 3 до 6 лет,"Опыт разработки на Python, FastAPI, опыт с Django Framework от 3-х лет. Глубокий опыт работы с высоконагруженными сервиcами на...",https://hh.ru/
Python-разработчик,83921162,0,450000,От 3 до 6 лет,От 3 лет коммерческого опыта на Python. Наличие высшего технического образования.,https://hh.ru/
Python Backend Developer,83828013,200000,300000,От 1 года до 3 лет,"Опыт от 2х лет. - Асинхронное программирование (asyncio, aiohttp). - Создание безопасных web приложений (знание уязвимостей и способов защиты). ",https://hh.ru/
Middle+ Python Developer (backend),84018264,250000,300000,От 3 до 6 лет,"Опыт в проектах на Python (3.8-3.10), Django/FastAPI. — Опыт с библиотеками Celery\Dramatiq. — Также нам важно хорошее...",https://hh.ru/
Middle Python Developer (Remote),83756799,180000,250000,От 1 года до 3 лет,Опыт коммерческой разработки Python (2.7/3) – строго от 3 лет обязательно. Опыт с Django - от 2 лет обязательно. ,https://hh.ru/
Программист Python,83439263,150000,250000,От 1 года до 3 лет,"Понимание специфики интернет-данных. Опыт коммерческой разработки на Python 3.8+ с использованием асинхронного программирования (asyncio, async, await). ",https://hh.ru/
Python Backend Developer,83828868,0,250000,От 3 до 6 лет,"Наличие опыта разработки на Python от от 3-х лет. Опыт работы с asyncio в частности (FastAPI, AIOHTTP). ",https://hh.ru/
Backend developer (python),83207201,0,230000,От 1 года до 3 лет,"Опыт работы с Python 3.x. Опыт работы с одним из асинхронных фреймворков: Aiohttp, Sanic, FastApi. Опыт работы с базами...",https://hh.ru/
Программист Python,80505531,125000,220000,От 1 года до 3 лет,Опыта разработки на Python или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного) образования. ,https://hh.ru/
Программист Python,84124391,125000,213000,От 1 года до 3 лет,Знание Python или иных скриптовых языков с последующей миграцией на Python и опыт разработки от 2 лет. Хорошее знание SQL. ,https://hh.ru/
